date,ra,dec
2019-Nov-07 00:00,17.57733056,-23.13038889
2019-Nov-07 03:00,17.579425,-23.132
2019-Nov-07 06:00,17.58153333,-23.13361111
2019-Nov-07 09:00,17.58365278,-23.13519444
2019-Nov-07 12:00,17.58578889,-23.13677778
2019-Nov-07 15:00,17.58793611,-23.13836111
2019-Nov-07 18:00,17.59009444,-23.13994444
2019-Nov-07 21:00,17.59226389,-23.1415
2019-Nov-08 00:00,17.59444167,-23.14305556
2019-Nov-08 03:00,17.59663056,-23.14458333
2019-Nov-08 06:00,17.59882778,-23.14611111
2019-Nov-08 09:00,17.60103333,-23.14761111
2019-Nov-08 12:00,17.60324444,-23.14911111
2019-Nov-08 15:00,17.60546111,-23.15061111
2019-Nov-08 18:00,17.60768611,-23.15208333
2019-Nov-08 21:00,17.60991389,-23.15352778
2019-Nov-09 00:00,17.61214444,-23.15497222
2019-Nov-09 03:00,17.61437778,-23.15638889
2019-Nov-09 06:00,17.61661111,-23.15780556
2019-Nov-09 09:00,17.61884722,-23.15919444
2019-Nov-09 12:00,17.62108333,-23.16058333
2019-Nov-09 15:00,17.62331944,-23.16194444
2019-Nov-09 18:00,17.62555278,-23.16327778
2019-Nov-09 21:00,17.62778333,-23.16461111
2019-Nov-10 00:00,17.63001111,-23.16591667
2019-Nov-10 03:00,17.63223333,-23.16719444
2019-Nov-10 06:00,17.63445278,-23.16847222
2019-Nov-10 09:00,17.63666389,-23.16972222
2019-Nov-10 12:00,17.63886944,-23.17097222
2019-Nov-10 15:00,17.64106667,-23.17216667
2019-Nov-10 18:00,17.64325556,-23.17338889
2019-Nov-10 21:00,17.64543611,-23.17455556
2019-Nov-11 00:00,17.64760556,-23.17572222
2019-Nov-11 03:00,17.64976389,-23.17686111
2019-Nov-11 06:00,17.65191389,-23.178
2019-Nov-11 09:00,17.65405,-23.17911111
2019-Nov-11 12:00,17.65617222,-23.18019444
2019-Nov-11 15:00,17.65828333,-23.18127778
