date,ra,dec
2019-Nov-07 00:00,17.58680278,-23.13105556
2019-Nov-07 03:00,17.5884,-23.13186111
2019-Nov-07 06:00,17.58986111,-23.13266667
2019-Nov-07 09:00,17.59120278,-23.1335
2019-Nov-07 12:00,17.59245,-23.13436111
2019-Nov-07 15:00,17.59363056,-23.13527778
2019-Nov-07 18:00,17.59477222,-23.13627778
2019-Nov-07 21:00,17.59590556,-23.13736111
2019-Nov-08 00:00,17.59706667,-23.13852778
2019-Nov-08 03:00,17.59828333,-23.13983333
2019-Nov-08 06:00,17.59958889,-23.14122222
2019-Nov-08 09:00,17.601,-23.14272222
2019-Nov-08 12:00,17.60254444,-23.14427778
2019-Nov-08 15:00,17.60423333,-23.14594444
2019-Nov-08 18:00,17.60607222,-23.14766667
2019-Nov-08 21:00,17.60806389,-23.14938889
2019-Nov-09 00:00,17.61019722,-23.15113889
2019-Nov-09 03:00,17.61246389,-23.15288889
2019-Nov-09 06:00,17.61483611,-23.15458333
2019-Nov-09 09:00,17.61729167,-23.15619444
2019-Nov-09 12:00,17.6198,-23.15775
2019-Nov-09 15:00,17.622325,-23.15919444
2019-Nov-09 18:00,17.62483333,-23.16052778
2019-Nov-09 21:00,17.62729167,-23.16172222
2019-Nov-10 00:00,17.62966667,-23.16283333
2019-Nov-10 03:00,17.63193611,-23.16383333
2019-Nov-10 06:00,17.63408056,-23.16475
2019-Nov-10 09:00,17.63608056,-23.16555556
2019-Nov-10 12:00,17.63793056,-23.16633333
2019-Nov-10 15:00,17.63963333,-23.16705556
2019-Nov-10 18:00,17.64119444,-23.16777778
2019-Nov-10 21:00,17.64263056,-23.1685
2019-Nov-11 00:00,17.64396111,-23.16927778
2019-Nov-11 03:00,17.64520833,-23.17008333
2019-Nov-11 06:00,17.64640556,-23.17097222
2019-Nov-11 09:00,17.64758056,-23.17194444
2019-Nov-11 12:00,17.64876389,-23.17302778
2019-Nov-11 15:00,17.64999167,-23.17419444
2019-Nov-11 18:00,17.65129167,-23.17544444
2019-Nov-11 21:00,17.65269167,-23.17680556
2019-Nov-12 00:00,17.65421111,-23.17825
2019-Nov-12 03:00,17.65586667,-23.17977778
2019-Nov-12 06:00,17.65767222,-23.18133333
2019-Nov-12 09:00,17.65963056,-23.18291667
2019-Nov-12 12:00,17.66173333,-23.18452778
2019-Nov-12 15:00,17.663975,-23.18611111
2019-Nov-12 18:00,17.66633611,-23.18763889
