date,ra,dec
2019-Nov-07 00:00,17.58762778,-23.13394444
2019-Nov-07 03:00,17.58975,-23.13513889
2019-Nov-07 06:00,17.59182222,-23.13627778
2019-Nov-07 09:00,17.59384167,-23.13738889
2019-Nov-07 12:00,17.59580833,-23.13844444
2019-Nov-07 15:00,17.59771944,-23.13947222
2019-Nov-07 18:00,17.59956944,-23.14044444
2019-Nov-07 21:00,17.60136389,-23.14138889
2019-Nov-08 00:00,17.6031,-23.14233333
2019-Nov-08 03:00,17.60477778,-23.14322222
2019-Nov-08 06:00,17.6064,-23.14411111
2019-Nov-08 09:00,17.60796944,-23.145
2019-Nov-08 12:00,17.60949167,-23.14586111
2019-Nov-08 15:00,17.61096389,-23.14672222
2019-Nov-08 18:00,17.61239722,-23.14758333
2019-Nov-08 21:00,17.61379167,-23.14847222
2019-Nov-09 00:00,17.61515278,-23.14936111
2019-Nov-09 03:00,17.61648889,-23.15027778
2019-Nov-09 06:00,17.61780278,-23.15119444
2019-Nov-09 09:00,17.61910556,-23.15216667
2019-Nov-09 12:00,17.62039722,-23.15313889
2019-Nov-09 15:00,17.62168889,-23.15416667
2019-Nov-09 18:00,17.62298333,-23.15519444
2019-Nov-09 21:00,17.62429167,-23.15630556
2019-Nov-10 00:00,17.62561389,-23.15741667
2019-Nov-10 03:00,17.62696389,-23.15858333
2019-Nov-10 06:00,17.62834167,-23.15977778
2019-Nov-10 09:00,17.62975556,-23.16102778
2019-Nov-10 12:00,17.63120833,-23.16230556
2019-Nov-10 15:00,17.63270556,-23.16361111
2019-Nov-10 18:00,17.63425278,-23.16497222
2019-Nov-10 21:00,17.63585,-23.16636111
2019-Nov-11 00:00,17.63750556,-23.16777778
2019-Nov-11 03:00,17.63921667,-23.16922222
2019-Nov-11 06:00,17.64098611,-23.17069444
2019-Nov-11 09:00,17.64281667,-23.17219444
2019-Nov-11 12:00,17.64470833,-23.17369444
2019-Nov-11 15:00,17.64665833,-23.17522222
2019-Nov-11 18:00,17.64866667,-23.17675
2019-Nov-11 21:00,17.65073333,-23.17827778
2019-Nov-12 00:00,17.65285278,-23.17980556
2019-Nov-12 03:00,17.65502222,-23.18133333
2019-Nov-12 06:00,17.65723889,-23.18283333
2019-Nov-12 09:00,17.6595,-23.18433333
2019-Nov-12 12:00,17.6618,-23.18580556
2019-Nov-12 15:00,17.66413333,-23.18725
2019-Nov-12 18:00,17.66649167,-23.18866667
2019-Nov-12 21:00,17.66887222,-23.19005556
2019-Nov-13 00:00,17.67126944,-23.19138889
2019-Nov-13 03:00,17.673675,-23.19269444
2019-Nov-13 06:00,17.67608611,-23.19397222
2019-Nov-13 09:00,17.67848889,-23.19519444
2019-Nov-13 12:00,17.68088611,-23.19638889
2019-Nov-13 15:00,17.68326389,-23.1975
2019-Nov-13 18:00,17.68562222,-23.19861111
2019-Nov-13 21:00,17.68795,-23.19963889
2019-Nov-14 00:00,17.69024722,-23.20063889
2019-Nov-14 03:00,17.69250278,-23.20158333
2019-Nov-14 06:00,17.69471667,-23.2025
2019-Nov-14 09:00,17.69688333,-23.20336111
2019-Nov-14 12:00,17.699,-23.20419444
2019-Nov-14 15:00,17.70106389,-23.205
2019-Nov-14 18:00,17.70307222,-23.20575
2019-Nov-14 21:00,17.705025,-23.2065
2019-Nov-15 00:00,17.70691667,-23.20722222
2019-Nov-15 03:00,17.70875278,-23.20791667
2019-Nov-15 06:00,17.71053056,-23.20858333
2019-Nov-15 09:00,17.71225556,-23.20927778
2019-Nov-15 12:00,17.71392222,-23.20994444
2019-Nov-15 15:00,17.71554167,-23.21058333
2019-Nov-15 18:00,17.71711111,-23.21127778
2019-Nov-15 21:00,17.71863611,-23.21194444
2019-Nov-16 00:00,17.720125,-23.21263889
2019-Nov-16 03:00,17.721575,-23.21333333
2019-Nov-16 06:00,17.723,-23.21405556
2019-Nov-16 09:00,17.7244,-23.21480556
2019-Nov-16 12:00,17.72578056,-23.21555556
2019-Nov-16 15:00,17.72715278,-23.21636111
2019-Nov-16 18:00,17.72851944,-23.21719444
2019-Nov-16 21:00,17.72988611,-23.21805556
2019-Nov-17 00:00,17.73126389,-23.21894444
2019-Nov-17 03:00,17.73265278,-23.21986111
2019-Nov-17 06:00,17.73406389,-23.22083333
2019-Nov-17 09:00,17.7355,-23.22183333
2019-Nov-17 12:00,17.73696944,-23.22286111
2019-Nov-17 15:00,17.73847778,-23.22391667
2019-Nov-17 18:00,17.740025,-23.225
2019-Nov-17 21:00,17.74161944,-23.22611111
2019-Nov-18 00:00,17.74326389,-23.22725
2019-Nov-18 03:00,17.74496389,-23.22841667
2019-Nov-18 06:00,17.74671667,-23.22961111
