date,ra,dec
2019-Nov-07 00:00,17.58441944,-23.13169444
2019-Nov-07 03:00,17.58694722,-23.13308333
2019-Nov-07 06:00,17.58921111,-23.13416667
2019-Nov-07 09:00,17.59111667,-23.13502778
2019-Nov-07 12:00,17.59264722,-23.13575
2019-Nov-07 15:00,17.59385556,-23.13644444
2019-Nov-07 18:00,17.59485556,-23.13722222
2019-Nov-07 21:00,17.59580833,-23.13819444
2019-Nov-08 00:00,17.59688333,-23.13941667
2019-Nov-08 03:00,17.59822222,-23.14088889
2019-Nov-08 06:00,17.59991944,-23.14261111
2019-Nov-08 09:00,17.60199444,-23.14447222
2019-Nov-08 12:00,17.60439722,-23.14633333
2019-Nov-08 15:00,17.60701667,-23.14811111
2019-Nov-08 18:00,17.60969444,-23.14972222
2019-Nov-08 21:00,17.612275,-23.15102778
2019-Nov-09 00:00,17.61460833,-23.15211111
2019-Nov-09 03:00,17.61659722,-23.15294444
2019-Nov-09 06:00,17.61820833,-23.15361111
2019-Nov-09 09:00,17.61948333,-23.15427778
2019-Nov-09 12:00,17.62052778,-23.155
2019-Nov-09 15:00,17.6215,-23.15591667
2019-Nov-09 18:00,17.62256111,-23.15705556
2019-Nov-09 21:00,17.62386944,-23.15847222
2019-Nov-10 00:00,17.62552222,-23.16008333
2019-Nov-10 03:00,17.62755556,-23.16186111
2019-Nov-10 06:00,17.629925,-23.16366667
2019-Nov-10 09:00,17.63253333,-23.16536111
2019-Nov-10 12:00,17.63523056,-23.16688889
2019-Nov-10 15:00,17.63785556,-23.16816667
2019-Nov-10 18:00,17.64025556,-23.16919444
2019-Nov-10 21:00,17.642325,-23.17
2019-Nov-11 00:00,17.64401667,-23.17063889
2019-Nov-11 03:00,17.64536111,-23.17125
2019-Nov-11 06:00,17.64645556,-23.17194444
2019-Nov-11 09:00,17.64744722,-23.17277778
2019-Nov-11 12:00,17.64850556,-23.17386111
2019-Nov-11 15:00,17.64978056,-23.17519444
2019-Nov-11 18:00,17.65139167,-23.17672222
2019-Nov-11 21:00,17.65337778,-23.17841667
2019-Nov-12 00:00,17.65571389,-23.18011111
2019-Nov-12 03:00,17.65830833,-23.18175
2019-Nov-12 06:00,17.66101944,-23.18322222
2019-Nov-12 09:00,17.66368056,-23.18444444
2019-Nov-12 12:00,17.66614444,-23.18541667
2019-Nov-12 15:00,17.66829167,-23.18619444
2019-Nov-12 18:00,17.67006389,-23.18680556
2019-Nov-12 21:00,17.67148333,-23.18736111
2019-Nov-13 00:00,17.67262778,-23.188
2019-Nov-13 03:00,17.67364444,-23.18877778
2019-Nov-13 06:00,17.6747,-23.18977778
2019-Nov-13 09:00,17.67595,-23.19102778
2019-Nov-13 12:00,17.67751667,-23.19247222
2019-Nov-13 15:00,17.67945556,-23.19408333
2019-Nov-13 18:00,17.68175556,-23.19569444
2019-Nov-13 21:00,17.68433056,-23.19725
2019-Nov-14 00:00,17.68704722,-23.19866667
2019-Nov-14 03:00,17.68974444,-23.19983333
2019-Nov-14 06:00,17.69226667,-23.20075
2019-Nov-14 09:00,17.69448889,-23.20147222
2019-Nov-14 12:00,17.69634444,-23.20205556
2019-Nov-14 15:00,17.69783333,-23.20255556
2019-Nov-14 18:00,17.69903611,-23.20313889
2019-Nov-14 21:00,17.70008333,-23.20386111
2019-Nov-15 00:00,17.70113611,-23.20480556
2019-Nov-15 03:00,17.70236389,-23.20597222
2019-Nov-15 06:00,17.70388889,-23.20733333
2019-Nov-15 09:00,17.70578333,-23.20883333
2019-Nov-15 12:00,17.70804167,-23.21038889
2019-Nov-15 15:00,17.71059444,-23.21186111
2019-Nov-15 18:00,17.71331111,-23.21319444
2019-Nov-15 21:00,17.71603889,-23.21430556
2019-Nov-16 00:00,17.71861667,-23.21516667
2019-Nov-16 03:00,17.72091111,-23.21583333
2019-Nov-16 06:00,17.72284444,-23.21636111
2019-Nov-16 09:00,17.72441111,-23.21683333
2019-Nov-16 12:00,17.72567222,-23.21733333
2019-Nov-16 15:00,17.72675,-23.218
2019-Nov-16 18:00,17.72781111,-23.21886111
