date,ra,dec
2019-Nov-07 00:00,17.58374444,-23.13036111
2019-Nov-07 03:00,17.58555,-23.13166667
2019-Nov-07 06:00,17.58735833,-23.133
2019-Nov-07 09:00,17.58916667,-23.13430556
2019-Nov-07 12:00,17.59097778,-23.13561111
2019-Nov-07 15:00,17.59279167,-23.13688889
2019-Nov-07 18:00,17.59460278,-23.13819444
2019-Nov-07 21:00,17.59641944,-23.1395
2019-Nov-08 00:00,17.59823611,-23.14077778
2019-Nov-08 03:00,17.60005278,-23.14205556
2019-Nov-08 06:00,17.60187222,-23.14333333
2019-Nov-08 09:00,17.60369167,-23.14461111
2019-Nov-08 12:00,17.60551389,-23.14588889
2019-Nov-08 15:00,17.60733611,-23.14716667
2019-Nov-08 18:00,17.60916111,-23.14841667
2019-Nov-08 21:00,17.61098611,-23.14969444
2019-Nov-09 00:00,17.61281389,-23.15094444
2019-Nov-09 03:00,17.61464167,-23.15219444
2019-Nov-09 06:00,17.61647222,-23.15344444
2019-Nov-09 09:00,17.61830278,-23.15469444
2019-Nov-09 12:00,17.62013333,-23.15591667
2019-Nov-09 15:00,17.62196667,-23.15713889
2019-Nov-09 18:00,17.62380278,-23.15838889
2019-Nov-09 21:00,17.62563889,-23.15961111
2019-Nov-10 00:00,17.627475,-23.16083333
2019-Nov-10 03:00,17.62931389,-23.16205556
2019-Nov-10 06:00,17.63115556,-23.16325
2019-Nov-10 09:00,17.63299722,-23.16447222
2019-Nov-10 12:00,17.63483889,-23.16566667
2019-Nov-10 15:00,17.63668333,-23.16686111
2019-Nov-10 18:00,17.63852778,-23.16805556
2019-Nov-10 21:00,17.640375,-23.16925
2019-Nov-11 00:00,17.64222222,-23.17044444
2019-Nov-11 03:00,17.64407222,-23.17161111
2019-Nov-11 06:00,17.64592222,-23.17280556
2019-Nov-11 09:00,17.64777222,-23.17397222
2019-Nov-11 12:00,17.649625,-23.17513889
2019-Nov-11 15:00,17.65148056,-23.17630556
2019-Nov-11 18:00,17.65333611,-23.17747222
2019-Nov-11 21:00,17.65519167,-23.17861111
2019-Nov-12 00:00,17.65705,-23.17977778
2019-Nov-12 03:00,17.65890833,-23.18091667
2019-Nov-12 06:00,17.66076944,-23.18205556
2019-Nov-12 09:00,17.66263056,-23.18319444
2019-Nov-12 12:00,17.66449444,-23.18430556
2019-Nov-12 15:00,17.66635833,-23.18544444
2019-Nov-12 18:00,17.66822222,-23.18655556
2019-Nov-12 21:00,17.67008889,-23.18769444
2019-Nov-13 00:00,17.67195833,-23.18880556
2019-Nov-13 03:00,17.673825,-23.18991667
2019-Nov-13 06:00,17.67569722,-23.19102778
2019-Nov-13 09:00,17.67756667,-23.19211111
2019-Nov-13 12:00,17.67944167,-23.19322222
2019-Nov-13 15:00,17.68131389,-23.19430556
2019-Nov-13 18:00,17.68318889,-23.19538889
2019-Nov-13 21:00,17.68506667,-23.19647222
2019-Nov-14 00:00,17.68694167,-23.19755556
2019-Nov-14 03:00,17.68882222,-23.19861111
2019-Nov-14 06:00,17.6907,-23.19969444
2019-Nov-14 09:00,17.69258333,-23.20075
2019-Nov-14 12:00,17.69446389,-23.20180556
2019-Nov-14 15:00,17.69634722,-23.20286111
2019-Nov-14 18:00,17.69823333,-23.20391667
2019-Nov-14 21:00,17.70011944,-23.20494444
2019-Nov-15 00:00,17.70200556,-23.20597222
2019-Nov-15 03:00,17.70389444,-23.20702778
2019-Nov-15 06:00,17.70578333,-23.20805556
2019-Nov-15 09:00,17.70767222,-23.20908333
